,000016.SH,000016.SH,000016.SH,000300.SH,000300.SH,000300.SH,000905.SH,000905.SH,000905.SH,000852.SH,000852.SH,000852.SH
,open,close,volume,open,close,volume,open,close,volume,open,close,volume
date,,,,,,,,,,,,
2005/11/23,746.395,754.156,522361400,868.005,876.229,991692000,831.701,838.117,494042158,832.103,841.307,139749273
2005/11/24,753.435,761.662,783833800,875.827,881.493,1462900800,837.678,841.699,553120116,840.108,845.476,159936707
2005/11/25,761.554,766.678,778202600,881.248,884.105,1300354600,841.714,841.13,484954815,845.831,847.343,145607139
2005/11/28,765.27,762.905,527320400,883.241,880.167,973973500,841.211,838.342,459130528,849.191,846.429,140601357
2005/11/29,761.923,755.293,452758400,879.254,871.31,841499400,839.25,827.005,449955496,847.094,835.306,156806809
2005/11/30,754.487,759.633,413264200,870.452,873.825,804073800,826.335,829.5,480517458,835.538,839.24,181003456
2005/12/1,759.346,758.936,324492600,873.474,873.067,706923500,829.335,828.193,392720888,839.537,835.386,134858876
2005/12/2,758.69,757.021,382121800,872.93,869.936,849202100,827.154,817.864,439908623,834.071,821.715,137013877
2005/12/5,756.037,751.353,380336200,869.427,859.61,1028689700,819.791,796.926,489537012,821.08,794.322,144180480
2005/12/6,750.156,760.202,500898100,858.108,866.075,1030351400,795.111,798.878,372778249,792.213,796.987,107077712
2005/12/7,760.014,767.543,459375200,865.724,873.838,984295500,800.183,806.778,375535545,796.987,805.528,108895250
2005/12/8,767.782,765.555,411250800,874.132,874.056,1025917400,807.406,805.561,389699945,805.988,802.541,119864140
2005/12/9,765.247,777.031,503754500,873.693,887.358,1271952600,805.521,819.2,556345562,802.659,816.955,135271180
2005/12/12,776.193,774.709,346547500,887.064,888.518,1069928000,820.109,824.518,546831096,818.449,823.324,137817394
2005/12/13,774.064,773.589,372990300,887.996,889.101,1054723800,824.628,824.861,491743826,823.337,822.533,105400214
2005/12/14,773.038,778.494,505377900,888.604,898.153,1386837600,824.861,832.513,593392904,822.533,831.797,132113572
2005/12/15,778.474,778.233,617065700,898.382,896.434,1625978200,833.465,827.539,608947257,831.637,824.607,128466967
